NUM_GENERATIONS,NIM_SIZE,NUM_MATCHES,k,win_rate
10,3,10,,0.9
10,3,10,5,1.0
10,3,10,3,0.9
10,3,100,,0.69
10,3,100,5,0.69
10,3,100,3,0.7
10,5,10,,1.0
10,5,10,5,0.9
10,5,10,3,0.9
10,5,100,,0.69
10,5,100,5,0.72
10,5,100,3,0.74
10,10,10,,0.9
10,10,10,5,0.9
10,10,10,3,0.9
10,10,100,,0.71
10,10,100,5,0.7
10,10,100,3,0.69
100,3,10,,1.0
100,3,10,5,1.0
100,3,10,3,1.0
100,3,100,,0.73
100,3,100,5,0.77
100,3,100,3,0.78
100,5,10,,1.0
100,5,10,5,1.0
100,5,10,3,1.0
100,5,100,,0.76
100,5,100,5,0.78
100,5,100,3,0.78
100,10,10,,1.0
100,10,10,5,1.0
100,10,10,3,1.0
100,10,100,,0.74
100,10,100,5,0.79
100,10,100,3,0.73
